['draw_foe.py', '5.avi', 'online']
['second', 'image', 'is', './pgm_sample/5.avi/00000002.pgm', '3\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000003.pgm', '4\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000004.pgm', '5\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000005.pgm', '6\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000006.pgm', '7\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000007.pgm', '8\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000008.pgm', '9\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000009.pgm', '10\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000010.pgm', '11\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000011.pgm', '12\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000012.pgm', '13\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000013.pgm', '14\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000014.pgm', '15\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000015.pgm', '16\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000016.pgm', '17\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000017.pgm', '18\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000018.pgm', '19\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000019.pgm', '20\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000020.pgm', '21\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000021.pgm', '22\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000022.pgm', '23\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000023.pgm', '24\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000024.pgm', '25\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000025.pgm', '26\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000026.pgm', '27\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000027.pgm', '28\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000028.pgm', '29\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000029.pgm', '30\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000030.pgm', '31\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000031.pgm', '32\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000032.pgm', '33\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000033.pgm', '34\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000034.pgm', '35\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000035.pgm', '36\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000036.pgm', '37\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000037.pgm', '38\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000038.pgm', '39\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000039.pgm', '40\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000040.pgm', '41\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000041.pgm', '42\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000042.pgm', '43\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000043.pgm', '44\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000044.pgm', '45\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000045.pgm', '46\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000046.pgm', '47\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000047.pgm', '48\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000048.pgm', '49\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000049.pgm', '50\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000050.pgm', '51\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000051.pgm', '52\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000052.pgm', '53\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000053.pgm', '54\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000054.pgm', '55\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000055.pgm', '56\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000056.pgm', '57\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000057.pgm', '58\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000058.pgm', '59\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000059.pgm', '60\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000060.pgm', '61\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000061.pgm', '62\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000062.pgm', '63\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000063.pgm', '64\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000064.pgm', '65\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000065.pgm', '66\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000066.pgm', '67\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000067.pgm', '68\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000068.pgm', '69\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000069.pgm', '70\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000070.pgm', '71\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000071.pgm', '72\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000072.pgm', '73\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000073.pgm', '74\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000074.pgm', '75\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000075.pgm', '76\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000076.pgm', '77\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000077.pgm', '78\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000078.pgm', '79\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000079.pgm', '80\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000080.pgm', '81\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000081.pgm', '82\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000082.pgm', '83\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000083.pgm', '84\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000084.pgm', '85\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000085.pgm', '86\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000086.pgm', '87\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000087.pgm', '88\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000088.pgm', '89\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000089.pgm', '90\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000090.pgm', '91\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000091.pgm', '92\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000092.pgm', '93\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000093.pgm', '94\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000094.pgm', '95\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000095.pgm', '96\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000096.pgm', '97\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000097.pgm', '98\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000098.pgm', '99\n']
